Banco;Data_Compensacao;Descricao_Banco;Valor_Recebido
Banco do Brasil;2026-04-29;DOC EMPRESA 50627;1184.04
Banco do Brasil;2026-04-29;TED EMPRESA 40789;1694.77
Banco do Brasil;2026-04-29;DOC EMPRESA 34095;303.69
Banco do Brasil;2026-04-29;TED EMPRESA 7457;1829.08
Banco do Brasil;2026-04-29;TED EMPRESA 1430;2001.91
Banco do Brasil;2026-04-29;PIX EMPRESA 93037;4917.9
Banco do Brasil;2026-04-29;TED EMPRESA 41349;4379.72
Banco do Brasil;2026-04-29;TED EMPRESA 95183;777.49
Banco do Brasil;2026-04-29;TED EMPRESA 96077;1281.33
Banco do Brasil;2026-04-29;PIX EMPRESA 33525;4374.04
Banco do Brasil;2026-04-29;PIX EMPRESA 31143;3149.61
Banco do Brasil;2026-04-29;DOC EMPRESA 23280;860.84
Banco do Brasil;2026-04-29;DOC EMPRESA 42667;691.51
Banco do Brasil;2026-04-29;PIX EMPRESA 71014;982.92
Banco do Brasil;2026-04-29;DOC EMPRESA 71645;3786.03
Banco do Brasil;2026-04-29;TED EMPRESA 57465;3771.73
Banco do Brasil;2026-04-29;PIX EMPRESA 87412;3346.53
Banco do Brasil;2026-04-29;DOC EMPRESA 77348;1877.43
Banco do Brasil;2026-04-29;PIX EMPRESA 25736;4937.81
Banco do Brasil;2026-04-29;PIX EMPRESA 10815;1406.73
Banco do Brasil;2026-04-29;TED EMPRESA 15666;4167.07
Banco do Brasil;2026-04-29;TED EMPRESA 63309;4799.5
Banco do Brasil;2026-04-29;DOC EMPRESA 97999;2662.25
Banco do Brasil;2026-04-29;TED EMPRESA 90251;3691.07
Banco do Brasil;2026-04-29;PIX EMPRESA 40186;971.37
Banco do Brasil;2026-04-29;TED EMPRESA 4842;752.7
Banco do Brasil;2026-04-29;TED EMPRESA 87373;358.34
Banco do Brasil;2026-04-29;TED EMPRESA 3724;3791.29
Banco do Brasil;2026-04-29;TED EMPRESA 65167;3909.51
Banco do Brasil;2026-04-29;PIX EMPRESA 45449;1851.58
Banco do Brasil;2026-04-29;DOC EMPRESA 59056;4317.34
Banco do Brasil;2026-04-29;DOC EMPRESA 44229;2466.72
Banco do Brasil;2026-04-29;TED EMPRESA 54941;725.44
Banco do Brasil;2026-04-29;DOC EMPRESA 41504;704.51
Banco do Brasil;2026-04-29;DOC EMPRESA 80373;587.69
Banco do Brasil;2026-04-29;TED EMPRESA 81872;1443.62
Banco do Brasil;2026-04-29;TED EMPRESA 32104;2079.41
Banco do Brasil;2026-04-29;PIX EMPRESA 44740;2052.51
Banco do Brasil;2026-04-29;TED EMPRESA 83720;4569.16
Banco do Brasil;2026-04-29;DOC EMPRESA 10642;2573.82
Banco do Brasil;2026-04-29;PIX EMPRESA 26240;1262.17
Banco do Brasil;2026-04-29;TED EMPRESA 4348;4909.31
Banco do Brasil;2026-04-29;PIX EMPRESA 28511;2386.42
Banco do Brasil;2026-04-29;TED EMPRESA 84932;3038.25
Banco do Brasil;2026-04-29;TED EMPRESA 91440;2645.17
Banco do Brasil;2026-04-29;DOC EMPRESA 75834;2362.42
Banco do Brasil;2026-04-29;PIX EMPRESA 33333;4640.65
Banco do Brasil;2026-04-29;DOC EMPRESA 54555;1043.58
Banco do Brasil;2026-04-29;PIX EMPRESA 93456;1647.72
Banco do Brasil;2026-04-29;DOC EMPRESA 57096;4026.56
Banco do Brasil;2026-04-29;DOC EMPRESA 75777;782.12
Banco do Brasil;2026-04-29;PIX EMPRESA 91853;2604.5
Banco do Brasil;2026-04-29;PIX EMPRESA 57506;3481.49
Banco do Brasil;2026-04-29;DOC EMPRESA 82396;3923.61
Banco do Brasil;2026-04-29;DOC EMPRESA 92184;3531.74
Banco do Brasil;2026-04-29;TED EMPRESA 55053;156.86
Banco do Brasil;2026-04-29;PIX EMPRESA 10883;415.76
Banco do Brasil;2026-04-29;DOC EMPRESA 30837;720.19
Banco do Brasil;2026-04-29;TED EMPRESA 60049;2652.9
Banco do Brasil;2026-04-29;DOC EMPRESA 96552;410.88
Banco do Brasil;2026-04-29;TED EMPRESA 74513;1308.21
Banco do Brasil;2026-04-29;DOC EMPRESA 67485;3522.48
Banco do Brasil;2026-04-29;TED EMPRESA 79850;2404.23
Banco do Brasil;2026-04-29;DOC EMPRESA 28425;4611.15
Banco do Brasil;2026-04-29;DOC EMPRESA 86593;4264.66
Banco do Brasil;2026-04-29;PIX EMPRESA 9404;2599.66
Banco do Brasil;2026-04-29;PIX EMPRESA 13296;1965.93
Banco do Brasil;2026-04-29;DOC EMPRESA 9220;1203.05
Banco do Brasil;2026-04-29;DOC EMPRESA 71853;3520.16
Banco do Brasil;2026-04-29;PIX EMPRESA 41695;3425.75
Banco do Brasil;2026-04-29;TED EMPRESA 88560;4734.3
Banco do Brasil;2026-04-29;DOC EMPRESA 31644;2256.86
Banco do Brasil;2026-04-29;DOC EMPRESA 29171;978.73
Banco do Brasil;2026-04-29;TED EMPRESA 15907;3040.59
Banco do Brasil;2026-04-29;DOC EMPRESA 71008;1382.63
Banco do Brasil;2026-04-29;TED EMPRESA 48107;3419.26
Banco do Brasil;2026-04-29;TED EMPRESA 78466;549.74
Banco do Brasil;2026-04-29;DOC EMPRESA 62758;2592.19
Banco do Brasil;2026-04-29;PIX EMPRESA 2952;3993.5
Banco do Brasil;2026-04-29;DOC EMPRESA 72639;279.28
Banco do Brasil;2026-04-29;DOC EMPRESA 51481;3440.88
Banco do Brasil;2026-04-29;TED EMPRESA 38782;1429.41
Banco do Brasil;2026-04-29;TED EMPRESA 78645;396.5
Banco do Brasil;2026-04-29;TED EMPRESA 90602;579.46
Banco do Brasil;2026-04-29;DOC EMPRESA 3878;1918.29
Banco do Brasil;2026-04-29;DOC EMPRESA 57183;4436.32
Banco do Brasil;2026-04-29;PIX EMPRESA 54891;379.53
Banco do Brasil;2026-04-29;TED EMPRESA 72012;3056.49
Banco do Brasil;2026-04-29;DOC EMPRESA 44698;3447.26
Banco do Brasil;2026-04-29;TED EMPRESA 7422;1357.44
Banco do Brasil;2026-04-29;TED EMPRESA 11329;3077.72
Banco do Brasil;2026-04-29;PIX EMPRESA 99127;4575.82
Banco do Brasil;2026-04-29;TED EMPRESA 5687;2595.61
Banco do Brasil;2026-04-29;DOC EMPRESA 90989;948.27
Banco do Brasil;2026-04-29;TED EMPRESA 66471;3727.85
Banco do Brasil;2026-04-29;DOC EMPRESA 22664;4622.4
Banco do Brasil;2026-04-29;TED EMPRESA 8683;4093.26
Banco do Brasil;2026-04-29;PIX EMPRESA 72962;2285.0
Banco do Brasil;2026-04-29;PIX EMPRESA 55096;493.59
Banco do Brasil;2026-04-29;TED EMPRESA 94151;2937.46
Banco do Brasil;2026-04-29;PIX EMPRESA 17779;1359.93
Banco do Brasil;2026-04-29;DOC EMPRESA 17964;3371.76
Banco do Brasil;2026-04-29;PIX EMPRESA 78017;2171.29
Banco do Brasil;2026-04-29;TED EMPRESA 64781;4400.63
Banco do Brasil;2026-04-29;TED EMPRESA 42489;1126.08
Banco do Brasil;2026-04-29;PIX EMPRESA 71552;4930.04
Banco do Brasil;2026-04-29;DOC EMPRESA 22159;488.61
Banco do Brasil;2026-04-29;DOC EMPRESA 74511;2737.61
Banco do Brasil;2026-04-29;DOC EMPRESA 23355;2829.89
Banco do Brasil;2026-04-29;PIX EMPRESA 34276;725.53
Banco do Brasil;2026-04-29;TED EMPRESA 32868;1455.71
Banco do Brasil;2026-04-29;PIX EMPRESA 27305;3158.4
Banco do Brasil;2026-04-29;DOC EMPRESA 74402;1058.19
Banco do Brasil;2026-04-29;PIX EMPRESA 37079;1524.33
Banco do Brasil;2026-04-29;TED EMPRESA 81395;1601.72
Banco do Brasil;2026-04-29;DOC EMPRESA 47638;3170.5
Banco do Brasil;2026-04-29;DOC EMPRESA 36670;3715.68
Banco do Brasil;2026-04-29;DOC EMPRESA 17882;267.22
Banco do Brasil;2026-04-29;PIX EMPRESA 93600;1398.49
Banco do Brasil;2026-04-29;DOC EMPRESA 4703;2780.65
Banco do Brasil;2026-04-29;TED EMPRESA 30614;3773.42
Banco do Brasil;2026-04-29;PIX EMPRESA 92693;2615.68
Banco do Brasil;2026-04-29;PIX EMPRESA 93706;918.18
Banco do Brasil;2026-04-29;TED EMPRESA 14614;2949.49
Banco do Brasil;2026-04-29;TED EMPRESA 91092;988.47
Banco do Brasil;2026-04-29;PIX EMPRESA 4719;1167.88
Banco do Brasil;2026-04-29;PIX EMPRESA 49043;3822.57
Banco do Brasil;2026-04-29;TED EMPRESA 18428;847.59
Banco do Brasil;2026-04-29;DOC EMPRESA 11624;1284.71
Banco do Brasil;2026-04-29;TED EMPRESA 23213;4244.21
Banco do Brasil;2026-04-29;DOC EMPRESA 71506;4333.3
Banco do Brasil;2026-04-29;TED EMPRESA 45824;3053.0
Banco do Brasil;2026-04-29;PIX EMPRESA 70354;3748.59
Banco do Brasil;2026-04-29;DOC EMPRESA 51819;2901.41
Banco do Brasil;2026-04-29;TED EMPRESA 34425;3858.9
Banco do Brasil;2026-04-29;DOC EMPRESA 21685;2691.61
Banco do Brasil;2026-04-29;TED EMPRESA 69402;795.16
Banco do Brasil;2026-04-29;PIX EMPRESA 16499;4800.12
Banco do Brasil;2026-04-29;TED EMPRESA 80541;1256.01
Banco do Brasil;2026-04-29;PIX EMPRESA 64138;4502.27
Banco do Brasil;2026-04-29;DOC EMPRESA 82516;2714.19
Banco do Brasil;2026-04-29;DOC EMPRESA 58157;1734.3
Banco do Brasil;2026-04-29;TED EMPRESA 13817;3856.6
Banco do Brasil;2026-04-29;TED EMPRESA 18107;354.63
Banco do Brasil;2026-04-29;DOC EMPRESA 80975;3548.58
Banco do Brasil;2026-04-29;TED EMPRESA 26020;3936.28
Banco do Brasil;2026-04-29;PIX EMPRESA 10806;3630.81
Banco do Brasil;2026-04-29;PIX EMPRESA 25663;935.73
Banco do Brasil;2026-04-29;PIX EMPRESA 17623;4794.35
Banco do Brasil;2026-04-29;TED EMPRESA 37096;2226.31
Banco do Brasil;2026-04-29;PIX EMPRESA 53742;2394.68
Banco do Brasil;2026-04-29;DOC EMPRESA 84671;4569.58
Banco do Brasil;2026-04-29;PIX EMPRESA 23845;1728.64
Banco do Brasil;2026-04-29;PIX EMPRESA 60691;3049.78
Banco do Brasil;2026-04-29;PIX EMPRESA 691;3262.96
Banco do Brasil;2026-04-29;PIX EMPRESA 24089;4576.38
Banco do Brasil;2026-04-29;TED EMPRESA 20923;1117.01
Banco do Brasil;2026-04-29;DOC EMPRESA 18289;3764.51
Banco do Brasil;2026-04-29;PIX EMPRESA 34547;205.53
Banco do Brasil;2026-04-29;DOC EMPRESA 75100;1337.96
