Banco;Data_Compensacao;Descricao_Banco;Valor_Recebido
Bradesco;2026-04-29;DOC EMPRESA 12352;3118.76
Bradesco;2026-04-29;PIX EMPRESA 74437;1098.56
Bradesco;2026-04-29;DOC EMPRESA 55076;2480.24
Bradesco;2026-04-29;PIX EMPRESA 4571;612.41
Bradesco;2026-04-29;TED EMPRESA 56161;405.78
Bradesco;2026-04-29;PIX EMPRESA 69678;3092.67
Bradesco;2026-04-29;DOC EMPRESA 95928;4201.73
Bradesco;2026-04-29;DOC EMPRESA 44918;1856.44
Bradesco;2026-04-29;TED EMPRESA 99290;3283.22
Bradesco;2026-04-29;DOC EMPRESA 60671;1076.65
Bradesco;2026-04-29;TED EMPRESA 70999;4065.13
Bradesco;2026-04-29;TED EMPRESA 94207;2350.09
Bradesco;2026-04-29;DOC EMPRESA 58885;831.53
Bradesco;2026-04-29;DOC EMPRESA 84921;3507.2
Bradesco;2026-04-29;DOC EMPRESA 64774;1410.29
Bradesco;2026-04-29;DOC EMPRESA 4160;4312.97
Bradesco;2026-04-29;DOC EMPRESA 55207;1216.93
Bradesco;2026-04-29;PIX EMPRESA 7761;1514.07
Bradesco;2026-04-29;PIX EMPRESA 20563;3520.77
Bradesco;2026-04-29;DOC EMPRESA 36257;469.01
Bradesco;2026-04-29;DOC EMPRESA 58983;3116.29
Bradesco;2026-04-29;TED EMPRESA 30361;2733.6
Bradesco;2026-04-29;TED EMPRESA 3856;2037.91
Bradesco;2026-04-29;PIX EMPRESA 30093;3632.27
Bradesco;2026-04-29;DOC EMPRESA 50485;4030.01
Bradesco;2026-04-29;TED EMPRESA 50024;991.06
Bradesco;2026-04-29;DOC EMPRESA 57840;1980.85
Bradesco;2026-04-29;DOC EMPRESA 80249;2604.08
Bradesco;2026-04-29;TED EMPRESA 98914;617.51
Bradesco;2026-04-29;PIX EMPRESA 60953;3853.69
Bradesco;2026-04-29;TED EMPRESA 33806;2133.23
Bradesco;2026-04-29;PIX EMPRESA 17479;4151.19
Bradesco;2026-04-29;PIX EMPRESA 95091;2634.65
Bradesco;2026-04-29;DOC EMPRESA 1111;2486.84
Bradesco;2026-04-29;DOC EMPRESA 5185;3120.55
Bradesco;2026-04-29;PIX EMPRESA 32106;3212.67
Bradesco;2026-04-29;PIX EMPRESA 44999;568.61
Bradesco;2026-04-29;PIX EMPRESA 50320;936.29
Bradesco;2026-04-29;DOC EMPRESA 73354;1692.76
Bradesco;2026-04-29;DOC EMPRESA 71364;4486.24
Bradesco;2026-04-29;PIX EMPRESA 88573;1985.49
Bradesco;2026-04-29;DOC EMPRESA 8350;432.9
Bradesco;2026-04-29;DOC EMPRESA 63162;2031.88
Bradesco;2026-04-29;DOC EMPRESA 8321;2002.45
Bradesco;2026-04-29;PIX EMPRESA 2361;980.76
Bradesco;2026-04-29;PIX EMPRESA 57049;3945.67
Bradesco;2026-04-29;DOC EMPRESA 67826;4714.54
Bradesco;2026-04-29;TED EMPRESA 10409;1390.9
Bradesco;2026-04-29;PIX EMPRESA 55451;2675.61
Bradesco;2026-04-29;DOC EMPRESA 99056;539.84
Bradesco;2026-04-29;DOC EMPRESA 67805;2555.43
Bradesco;2026-04-29;TED EMPRESA 17908;2088.55
Bradesco;2026-04-29;PIX EMPRESA 44085;1134.89
Bradesco;2026-04-29;TED EMPRESA 65699;4203.31
Bradesco;2026-04-29;DOC EMPRESA 69611;1844.92
Bradesco;2026-04-29;DOC EMPRESA 76752;428.73
Bradesco;2026-04-29;TED EMPRESA 57192;4561.15
Bradesco;2026-04-29;DOC EMPRESA 13097;3023.72
Bradesco;2026-04-29;DOC EMPRESA 6915;1690.97
Bradesco;2026-04-29;PIX EMPRESA 17206;4469.9
Bradesco;2026-04-29;PIX EMPRESA 34527;1325.92
Bradesco;2026-04-29;DOC EMPRESA 93658;3862.58
Bradesco;2026-04-29;DOC EMPRESA 85202;2015.06
Bradesco;2026-04-29;DOC EMPRESA 47150;557.68
Bradesco;2026-04-29;PIX EMPRESA 46838;4322.75
Bradesco;2026-04-29;TED EMPRESA 64433;4613.24
Bradesco;2026-04-29;DOC EMPRESA 16587;4828.17
Bradesco;2026-04-29;DOC EMPRESA 15700;2710.38
Bradesco;2026-04-29;PIX EMPRESA 42089;4720.38
Bradesco;2026-04-29;DOC EMPRESA 59370;3545.21
Bradesco;2026-04-29;PIX EMPRESA 43429;4440.38
Bradesco;2026-04-29;TED EMPRESA 91023;4067.5
Bradesco;2026-04-29;PIX EMPRESA 2163;717.5
Bradesco;2026-04-29;TED EMPRESA 91510;1858.98
Bradesco;2026-04-29;TED EMPRESA 96006;480.69
Bradesco;2026-04-29;DOC EMPRESA 52763;4421.75
Bradesco;2026-04-29;DOC EMPRESA 18762;2677.97
Bradesco;2026-04-29;PIX EMPRESA 60918;2821.02
Bradesco;2026-04-29;PIX EMPRESA 37064;280.07
Bradesco;2026-04-29;TED EMPRESA 7765;2325.91
Bradesco;2026-04-29;PIX EMPRESA 88859;3286.13
Bradesco;2026-04-29;PIX EMPRESA 1997;935.65
Bradesco;2026-04-29;DOC EMPRESA 7182;1581.96
