Banco;Data_Compensacao;Descricao_Banco;Valor_Recebido
Itaú;2026-04-29;DOC EMPRESA 56710;1063.87
Itaú;2026-04-29;PIX EMPRESA 94714;614.94
Itaú;2026-04-29;DOC EMPRESA 59952;3055.09
Itaú;2026-04-29;DOC EMPRESA 69863;396.26
Itaú;2026-04-29;DOC EMPRESA 17883;2900.6
Itaú;2026-04-29;DOC EMPRESA 70658;1810.42
Itaú;2026-04-29;TED EMPRESA 16115;691.86
Itaú;2026-04-29;TED EMPRESA 3559;566.32
Itaú;2026-04-29;DOC EMPRESA 66957;522.83
Itaú;2026-04-29;PIX EMPRESA 13597;2555.13
Itaú;2026-04-29;PIX EMPRESA 51520;3013.91
Itaú;2026-04-29;TED EMPRESA 8673;768.7
Itaú;2026-04-29;TED EMPRESA 52604;4528.04
Itaú;2026-04-29;PIX EMPRESA 62873;2621.24
Itaú;2026-04-29;TED EMPRESA 53653;895.32
Itaú;2026-04-29;TED EMPRESA 47174;2080.22
Itaú;2026-04-29;DOC EMPRESA 1408;3187.89
Itaú;2026-04-29;TED EMPRESA 99009;941.57
Itaú;2026-04-29;DOC EMPRESA 59789;918.35
Itaú;2026-04-29;PIX EMPRESA 32571;4789.87
Itaú;2026-04-29;DOC EMPRESA 80393;2897.31
Itaú;2026-04-29;DOC EMPRESA 82082;1207.55
Itaú;2026-04-29;PIX EMPRESA 24508;2994.78
Itaú;2026-04-29;PIX EMPRESA 78321;1304.29
Itaú;2026-04-29;TED EMPRESA 87991;556.53
Itaú;2026-04-29;DOC EMPRESA 49014;4467.91
Itaú;2026-04-29;DOC EMPRESA 34825;551.43
Itaú;2026-04-29;DOC EMPRESA 18986;2357.87
Itaú;2026-04-29;DOC EMPRESA 3092;3090.42
Itaú;2026-04-29;PIX EMPRESA 38452;2062.43
Itaú;2026-04-29;PIX EMPRESA 60651;3504.31
Itaú;2026-04-29;TED EMPRESA 30501;1233.58
Itaú;2026-04-29;TED EMPRESA 60891;3118.95
Itaú;2026-04-29;DOC EMPRESA 36496;1875.85
