Banco;Data_Compensacao;Descricao_Banco;Valor_Recebido
Santander;2026-04-29;TED EMPRESA 84602;957.88
Santander;2026-04-29;TED EMPRESA 1229;2646.07
Santander;2026-04-29;PIX EMPRESA 43906;2241.53
Santander;2026-04-29;TED EMPRESA 58572;1391.44
Santander;2026-04-29;TED EMPRESA 78682;2148.15
Santander;2026-04-29;PIX EMPRESA 25559;4268.56
Santander;2026-04-29;TED EMPRESA 64812;2400.35
Santander;2026-04-29;PIX EMPRESA 76738;1536.0
Santander;2026-04-29;TED EMPRESA 88631;650.72
Santander;2026-04-29;TED EMPRESA 43582;1867.44
Santander;2026-04-29;PIX EMPRESA 82451;2065.28
Santander;2026-04-29;PIX EMPRESA 49961;361.38
Santander;2026-04-29;DOC EMPRESA 1861;461.75
Santander;2026-04-29;DOC EMPRESA 6400;832.12
Santander;2026-04-29;PIX EMPRESA 43147;3137.45
Santander;2026-04-29;TED EMPRESA 33248;4588.71
Santander;2026-04-29;TED EMPRESA 62746;308.94
Santander;2026-04-29;PIX EMPRESA 52262;464.48
Santander;2026-04-29;PIX EMPRESA 62087;2983.5
Santander;2026-04-29;TED EMPRESA 43198;2948.47
Santander;2026-04-29;PIX EMPRESA 91221;2421.91
Santander;2026-04-29;TED EMPRESA 49369;2831.88
Santander;2026-04-29;PIX EMPRESA 9560;1537.46
Santander;2026-04-29;DOC EMPRESA 25163;4120.69
Santander;2026-04-29;PIX EMPRESA 97190;845.96
Santander;2026-04-29;DOC EMPRESA 396;2213.69
Santander;2026-04-29;TED EMPRESA 96124;911.32
Santander;2026-04-29;PIX EMPRESA 91540;3801.08
Santander;2026-04-29;TED EMPRESA 89095;3153.66
Santander;2026-04-29;DOC EMPRESA 54459;3497.1
Santander;2026-04-29;PIX EMPRESA 31116;650.52
Santander;2026-04-29;DOC EMPRESA 75386;1452.95
Santander;2026-04-29;DOC EMPRESA 99584;3405.37
Santander;2026-04-29;DOC EMPRESA 42530;2092.21
Santander;2026-04-29;TED EMPRESA 32954;2190.23
Santander;2026-04-29;PIX EMPRESA 94897;2961.56
Santander;2026-04-29;DOC EMPRESA 22204;835.88
Santander;2026-04-29;DOC EMPRESA 86009;2294.56
Santander;2026-04-29;PIX EMPRESA 10567;4666.79
Santander;2026-04-29;DOC EMPRESA 57190;2246.89
Santander;2026-04-29;DOC EMPRESA 55015;1117.33
Santander;2026-04-29;DOC EMPRESA 25541;4513.26
Santander;2026-04-29;DOC EMPRESA 63082;834.45
Santander;2026-04-29;DOC EMPRESA 85495;3647.66
Santander;2026-04-29;PIX EMPRESA 82066;2217.2
Santander;2026-04-29;TED EMPRESA 53751;1382.51
Santander;2026-04-29;DOC EMPRESA 11678;4000.6
Santander;2026-04-29;DOC EMPRESA 34706;1515.06
Santander;2026-04-29;DOC EMPRESA 12028;1124.55
Santander;2026-04-29;TED EMPRESA 85751;4607.24
Santander;2026-04-29;TED EMPRESA 43941;725.77
Santander;2026-04-29;DOC EMPRESA 66574;1429.12
Santander;2026-04-29;PIX EMPRESA 7261;2324.65
Santander;2026-04-29;DOC EMPRESA 4180;3272.05
Santander;2026-04-29;TED EMPRESA 9675;517.71
Santander;2026-04-29;DOC EMPRESA 69066;1704.56
Santander;2026-04-29;DOC EMPRESA 64720;3321.29
Santander;2026-04-29;DOC EMPRESA 83387;1199.27
Santander;2026-04-29;DOC EMPRESA 49740;3413.19
Santander;2026-04-29;DOC EMPRESA 2367;4608.38
Santander;2026-04-29;PIX EMPRESA 36545;1707.85
Santander;2026-04-29;PIX EMPRESA 84664;653.6
Santander;2026-04-29;TED EMPRESA 42107;4284.81
Santander;2026-04-29;TED EMPRESA 6929;2799.79
Santander;2026-04-29;PIX EMPRESA 58360;1699.53
Santander;2026-04-29;PIX EMPRESA 476;4103.66
Santander;2026-04-29;TED EMPRESA 78068;3173.69
Santander;2026-04-29;PIX EMPRESA 28978;2534.36
Santander;2026-04-29;TED EMPRESA 84101;2788.42
Santander;2026-04-29;PIX EMPRESA 58256;786.6
Santander;2026-04-29;DOC EMPRESA 10969;2203.44
Santander;2026-04-29;PIX EMPRESA 96432;539.65
Santander;2026-04-29;PIX EMPRESA 92034;4269.32
Santander;2026-04-29;TED EMPRESA 46607;3982.45
Santander;2026-04-29;DOC EMPRESA 3694;2714.8
Santander;2026-04-29;PIX EMPRESA 44281;1800.95
Santander;2026-04-29;PIX EMPRESA 62793;4495.72
Santander;2026-04-29;PIX EMPRESA 76689;1935.88
Santander;2026-04-29;PIX EMPRESA 57318;3454.29
Santander;2026-04-29;PIX EMPRESA 43221;4450.46
Santander;2026-04-29;TED EMPRESA 1503;2090.95
Santander;2026-04-29;TED EMPRESA 71991;492.14
Santander;2026-04-29;TED EMPRESA 33096;1626.0
Santander;2026-04-29;PIX EMPRESA 87897;3189.58
Santander;2026-04-29;PIX EMPRESA 72980;3845.02
Santander;2026-04-29;PIX EMPRESA 58308;1199.1
Santander;2026-04-29;DOC EMPRESA 7561;3556.25
Santander;2026-04-29;TED EMPRESA 37642;1411.55
Santander;2026-04-29;TED EMPRESA 92064;4227.24
